,KODE_KEL_DESA,KODE_KEC,KODE_KAB_KOTA,KODE_PROVINSI,POPULASI,JUMLAH_KK,pemuda,dewasa,lansia,Pengangguran,Kerah Biru,Kerah Putih,Profesional,Tidak Sekolah,Sekolah,Universitas,Mayoritas,Minoritas,ISLAM,KRISTEN,KATOLIK,HINDU,BUDDHA,KONGHUCU,KEPERCAYAAN
102,36.01.18.2008,36.01.18,36.01,36,3405,1147,896,867,545,802,1105,821,2,972,2364,69,3403,2,3403,2,0,0,0,0,0
103,36.01.18.2010,36.01.18,36.01,36,2747,893,728,635,492,634,965,596,0,773,1932,42,2746,1,2746,1,0,0,0,0,0
104,36.01.18.2013,36.01.18,36.01,36,2289,753,624,584,306,612,666,631,0,682,1560,47,2289,0,2289,0,0,0,0,0,0
105,36.01.19.2001,36.01.19,36.01,36,3434,1042,978,801,353,919,1030,767,1,1215,2192,27,3434,0,3434,0,0,0,0,0,0
106,36.01.19.2004,36.01.19,36.01,36,6143,1979,1670,1697,734,1340,1649,1747,24,1662,3998,483,6097,46,6097,34,12,0,0,0,0
107,36.01.19.2008,36.01.19,36.01,36,2467,790,699,623,347,508,954,512,4,687,1726,54,2467,0,2467,0,0,0,0,0,0
108,36.01.20.2002,36.01.20,36.01,36,4478,1507,1285,1215,589,1039,1633,565,0,1203,3200,75,4478,0,4478,0,0,0,0,0,0
109,36.01.20.2004,36.01.20,36.01,36,4260,1353,1185,1048,629,1000,1484,856,1,1226,2926,108,4259,1,4259,0,1,0,0,0,0
110,36.01.20.2006,36.01.20,36.01,36,2031,657,612,523,254,468,697,365,3,563,1448,20,2031,0,2031,0,0,0,0,0,0
111,36.01.20.2007,36.01.20,36.01,36,5155,1609,1318,1348,691,1161,1510,1070,7,1503,3346,306,5150,5,5150,5,0,0,0,0,0
112,36.01.20.2011,36.01.20,36.01,36,3211,987,924,813,412,799,897,787,5,900,2187,124,3211,0,3211,0,0,0,0,0,0
113,36.01.20.2012,36.01.20,36.01,36,2265,767,662,576,284,634,891,268,6,660,1575,30,2264,1,2264,1,0,0,0,0,0
114,36.01.20.2013,36.01.20,36.01,36,2516,852,709,610,384,811,967,383,0,762,1727,27,2505,11,2505,0,11,0,0,0,0
115,36.04.12.2002,36.04.12,36.04,36,2435,843,656,741,334,481,1134,327,4,680,1696,59,2435,0,2435,0,0,0,0,0,0
116,36.01.20.2014,36.01.20,36.01,36,1781,573,479,459,225,526,614,365,3,515,1243,23,1781,0,1781,0,0,0,0,0,0
117,36.01.21.1002,36.01.21,36.01,36,6426,2150,1650,1730,888,1696,1837,1634,12,1889,4245,292,6425,1,6425,1,0,0,0,0,0
118,36.01.21.1009,36.01.21,36.01,36,20614,6735,5242,5839,2789,5050,4921,5631,71,5728,13271,1615,20378,236,20378,148,48,0,40,0,0
119,36.01.22.2001,36.01.22,36.01,36,2466,797,722,673,294,832,970,256,1,730,1718,18,2466,0,2466,0,0,0,0,0,0
120,36.01.22.2002,36.01.22,36.01,36,1877,566,506,500,205,541,643,357,0,605,1252,20,1877,0,1877,0,0,0,0,0,0
121,36.01.22.2006,36.01.22,36.01,36,3817,1254,1159,941,378,1060,1040,919,5,1222,2524,71,3792,25,3792,12,9,4,0,0,0
122,36.01.22.2007,36.01.22,36.01,36,7802,2462,2067,2063,868,2018,1932,1889,32,2388,4952,462,7753,49,7753,43,5,1,0,0,0
123,36.01.22.2009,36.01.22,36.01,36,3378,1028,891,904,370,937,939,675,6,1100,2167,111,3344,34,3344,34,0,0,0,0,0
124,36.01.22.2010,36.01.22,36.01,36,2333,728,589,614,306,612,764,428,2,671,1602,60,2333,0,2333,0,0,0,0,0,0
125,36.01.22.2013,36.01.22,36.01,36,3138,902,900,778,359,931,1013,559,0,995,2108,35,3138,0,3138,0,0,0,0,0,0
126,36.01.23.2001,36.01.23,36.01,36,1852,642,462,494,270,340,704,268,0,573,1260,19,1852,0,1852,0,0,0,0,0,0
127,36.01.23.2002,36.01.23,36.01,36,5014,1679,1324,1400,602,1221,1389,1011,1,1487,3329,198,5014,0,5014,0,0,0,0,0,0
128,36.01.23.2004,36.01.23,36.01,36,3581,1386,950,1047,501,687,1282,741,2,982,2520,79,3581,0,3581,0,0,0,0,0,0
129,36.01.24.2020,36.01.24,36.01,36,2099,723,527,658,289,496,988,250,1,608,1466,25,2099,0,2099,0,0,0,0,0,0
130,36.01.23.2007,36.01.23,36.01,36,2732,963,643,781,468,559,928,471,4,730,1839,163,2732,0,2732,0,0,0,0,0,0
131,36.01.23.2009,36.01.23,36.01,36,1800,584,522,443,179,344,539,280,0,566,1211,23,1800,0,1800,0,0,0,0,0,0
132,36.01.24.2006,36.01.24,36.01,36,2537,929,599,836,328,520,1206,251,1,704,1807,26,2536,1,2536,0,1,0,0,0,0
133,36.01.24.2008,36.01.24,36.01,36,3719,1274,992,1067,523,691,1799,506,2,1037,2611,71,3719,0,3719,0,0,0,0,0,0
134,36.01.24.2009,36.01.24,36.01,36,2813,989,739,807,395,640,1211,444,0,946,1802,65,2813,0,2813,0,0,0,0,0,0
135,36.01.24.2010,36.01.24,36.01,36,3424,1281,874,960,562,691,1489,576,3,953,2397,74,3424,0,3424,0,0,0,0,0,0
136,36.01.27.2010,36.01.27,36.01,36,1394,470,383,332,181,381,567,152,0,528,859,7,1394,0,1394,0,0,0,0,0,0
137,36.01.24.2011,36.01.24,36.01,36,1777,651,476,546,259,429,769,325,0,448,1292,37,1777,0,1777,0,0,0,0,0,0
138,36.01.25.1002,36.01.25,36.01,36,12767,3967,3487,3448,1691,2859,3125,3225,36,3529,7965,1273,12479,288,12479,256,32,0,0,0,0
139,36.01.26.2001,36.01.26,36.01,36,4315,1496,1175,1186,656,817,1163,1241,4,1073,2985,257,4315,0,4315,0,0,0,0,0,0
140,36.01.26.2004,36.01.26,36.01,36,2885,1003,746,810,454,627,896,786,2,805,1989,91,2881,4,2881,2,0,0,2,0,0
141,36.01.26.2006,36.01.26,36.01,36,3083,1069,790,878,436,621,1001,729,7,859,2045,179,3080,3,3080,3,0,0,0,0,0
142,36.01.26.2008,36.01.26,36.01,36,2292,824,666,666,363,536,969,490,1,581,1695,16,2291,1,2291,1,0,0,0,0,0
143,36.01.26.2009,36.01.26,36.01,36,2915,1010,780,776,503,560,822,810,4,717,1957,241,2915,0,2915,0,0,0,0,0,0
144,36.01.26.2010,36.01.26,36.01,36,2298,830,543,653,419,428,862,556,0,599,1622,77,2296,2,2296,2,0,0,0,0,0
145,36.01.28.2002,36.01.28,36.01,36,3616,1320,959,1120,437,596,1427,726,1,937,2549,130,3610,6,3610,4,2,0,0,0,0
146,36.01.27.2001,36.01.27,36.01,36,1345,463,332,387,176,427,630,51,0,398,941,6,1345,0,1345,0,0,0,0,0,0
147,36.01.27.2002,36.01.27,36.01,36,2685,955,700,750,353,1005,1200,210,1,1004,1635,46,2684,1,2684,1,0,0,0,0,0
148,36.01.27.2003,36.01.27,36.01,36,1873,671,517,603,220,480,1034,122,0,592,1264,17,1870,3,1870,2,1,0,0,0,0
149,36.01.28.2006,36.01.28,36.01,36,3894,1389,1015,1171,476,850,1441,607,4,1090,2731,73,3886,8,3886,7,1,0,0,0,0
150,36.01.27.2005,36.01.27,36.01,36,2039,704,521,592,273,547,981,187,2,702,1292,45,2039,0,2039,0,0,0,0,0,0
151,36.01.27.2006,36.01.27,36.01,36,2502,959,674,761,352,725,1325,135,0,729,1758,15,2501,1,2501,1,0,0,0,0,0
152,36.01.27.2007,36.01.27,36.01,36,1803,705,406,593,295,482,895,162,2,559,1195,49,1803,0,1803,0,0,0,0,0,0
153,36.01.28.2003,36.01.28,36.01,36,5097,1892,1296,1569,656,920,1501,1327,2,1493,3529,75,5095,2,5095,2,0,0,0,0,0
154,36.01.28.2004,36.01.28,36.01,36,4031,1560,1146,1304,528,837,1728,633,3,1295,2692,44,4029,2,4029,2,0,0,0,0,0
155,36.01.28.2005,36.01.28,36.01,36,1874,764,517,557,278,322,800,196,0,550,1287,37,1874,0,1874,0,0,0,0,0,0
156,36.01.28.2007,36.01.28,36.01,36,3526,1241,874,1150,396,864,1141,900,9,928,2451,147,3521,5,3521,1,4,0,0,0,0
157,36.01.28.2010,36.01.28,36.01,36,2960,1132,758,916,486,461,1261,406,1,767,2134,59,2960,0,2960,0,0,0,0,0,0
158,36.01.29.2002,36.01.29,36.01,36,2701,949,742,686,350,602,904,470,2,800,1854,47,2701,0,2701,0,0,0,0,0,0
159,36.01.32.2009,36.01.32,36.01,36,3157,990,874,788,336,819,1241,375,2,1041,2046,70,3155,2,3155,2,0,0,0,0,0
160,36.01.29.2003,36.01.29,36.01,36,2351,810,605,614,350,590,921,359,6,688,1616,47,2350,1,2350,1,0,0,0,0,0
161,36.01.29.2004,36.01.29,36.01,36,3319,1187,898,953,445,815,1778,186,0,1072,2229,18,3319,0,3319,0,0,0,0,0,0
162,36.01.29.2005,36.01.29,36.01,36,4408,1561,1097,1295,569,1064,2315,213,2,1438,2936,34,4407,1,4407,1,0,0,0,0,0
163,36.01.29.2006,36.01.29,36.01,36,3448,1172,931,1009,445,733,1887,265,5,1157,2261,30,3448,0,3448,0,0,0,0,0,0
