,KODE_KEL_DESA,KODE_KECAMATAN,KODE_KAB_KOTA,KODE_PROVINSI,Tidak Sekolah,Sekolah,Universitas
30626,36.74.06.1001,36.74.06,36.74,36,11456.0,27309.0,10968.0
30627,36.74.06.1002,36.74.06,36.74,36,9751.0,21666.0,8257.0
30628,36.74.06.1003,36.74.06,36.74,36,12098.0,26410.0,9174.0
30629,36.74.07.1001,36.74.07,36.74,36,2927.0,6314.0,564.0
30630,36.74.07.1002,36.74.07,36.74,36,3434.0,7000.0,2605.0
30631,36.74.07.1005,36.74.07,36.74,36,3087.0,5722.0,1371.0
30632,36.74.07.1006,36.74.07,36.74,36,4643.0,9220.0,3005.0
30633,36.01.19.2010,36.01.19,36.01,36,1409.0,3368.0,292.0
30634,36.01.22.2003,36.01.22,36.01,36,600.0,1364.0,9.0
30635,36.04.11.2005,36.04.11,36.04,36,1152.0,2373.0,46.0
30636,36.04.12.2001,36.04.12,36.04,36,1162.0,2728.0,220.0
30637,36.01.01.2001,36.01.01,36.01,36,1212.0,2882.0,92.0
30638,36.01.01.2004,36.01.01,36.01,36,950.0,2133.0,39.0
30639,36.01.12.2004,36.01.12,36.01,36,2010.0,4419.0,286.0
30640,36.01.01.2006,36.01.01,36.01,36,871.0,2004.0,78.0
30641,36.01.02.2002,36.01.02,36.01,36,757.0,1995.0,64.0
30642,36.01.02.2011,36.01.02,36.01,36,733.0,1841.0,100.0
30643,36.01.02.2008,36.01.02,36.01,36,799.0,1833.0,111.0
30644,36.01.02.2009,36.01.02,36.01,36,606.0,1699.0,34.0
30645,36.01.10.2006,36.01.10,36.01,36,976.0,2742.0,169.0
30646,36.01.02.2012,36.01.02,36.01,36,882.0,2083.0,33.0
30647,36.01.03.2001,36.01.03,36.01,36,867.0,1971.0,39.0
30648,36.01.03.2006,36.01.03,36.01,36,603.0,1226.0,21.0
30649,36.01.03.2016,36.01.03,36.01,36,970.0,1222.0,12.0
30650,36.01.03.2012,36.01.03,36.01,36,1060.0,2449.0,69.0
30651,36.01.03.2015,36.01.03,36.01,36,1092.0,2310.0,31.0
30652,36.01.04.2001,36.01.04,36.01,36,1738.0,3218.0,54.0
30653,36.01.04.2003,36.01.04,36.01,36,932.0,1907.0,64.0
30654,36.01.04.2005,36.01.04,36.01,36,848.0,1347.0,18.0
30655,36.01.04.2006,36.01.04,36.01,36,1582.0,2702.0,74.0
30656,36.01.07.2002,36.01.07,36.01,36,767.0,1551.0,39.0
30657,36.01.04.2009,36.01.04,36.01,36,775.0,1466.0,26.0
30658,36.01.04.2013,36.01.04,36.01,36,1056.0,2228.0,68.0
30659,36.01.04.2014,36.01.04,36.01,36,1875.0,3769.0,150.0
30660,36.01.12.2012,36.01.12,36.01,36,2506.0,5386.0,160.0
30661,36.01.05.2001,36.01.05,36.01,36,1087.0,2426.0,28.0
30662,36.01.05.2002,36.01.05,36.01,36,866.0,1776.0,48.0
30663,36.01.12.2013,36.01.12,36.01,36,2137.0,4502.0,305.0
30664,36.01.07.2003,36.01.07,36.01,36,649.0,1509.0,49.0
30665,36.01.05.2005,36.01.05,36.01,36,1042.0,2259.0,52.0
30666,36.01.05.2006,36.01.05,36.01,36,1195.0,2706.0,48.0
30667,36.01.05.2010,36.01.05,36.01,36,1097.0,2126.0,24.0
30668,36.01.06.2002,36.01.06,36.01,36,1298.0,3238.0,102.0
30669,36.01.06.2004,36.01.06,36.01,36,1043.0,2727.0,74.0
30670,36.01.13.2006,36.01.13,36.01,36,635.0,1691.0,128.0
30671,36.01.06.2009,36.01.06,36.01,36,3336.0,7310.0,203.0
30672,36.01.07.2005,36.01.07,36.01,36,872.0,2348.0,85.0
30673,36.01.13.2011,36.01.13,36.01,36,1894.0,4492.0,492.0
30674,36.01.07.2001,36.01.07,36.01,36,1147.0,2813.0,83.0
30675,36.01.09.2005,36.01.09,36.01,36,562.0,1423.0,88.0
30676,36.01.08.2002,36.01.08,36.01,36,1157.0,2519.0,69.0
30677,36.01.08.2006,36.01.08,36.01,36,880.0,2040.0,37.0
30678,36.01.08.2007,36.01.08,36.01,36,629.0,1474.0,40.0
30679,36.01.09.2006,36.01.09,36.01,36,883.0,1708.0,96.0
30680,36.01.08.2008,36.01.08,36.01,36,685.0,1662.0,197.0
30681,36.01.08.2009,36.01.08,36.01,36,635.0,1759.0,79.0
30682,36.01.08.2011,36.01.08,36.01,36,559.0,1282.0,65.0
30683,36.01.09.2004,36.01.09,36.01,36,1002.0,2556.0,82.0
30684,36.01.09.2009,36.01.09,36.01,36,947.0,1788.0,81.0
30685,36.01.09.2010,36.01.09,36.01,36,684.0,1993.0,22.0
30686,36.01.09.2011,36.01.09,36.01,36,450.0,1074.0,47.0
30687,36.01.09.2013,36.01.09,36.01,36,1363.0,2903.0,105.0
30688,36.01.10.2002,36.01.10,36.01,36,958.0,2183.0,110.0
30689,36.01.13.2012,36.01.13,36.01,36,820.0,2234.0,76.0
30690,36.01.10.2005,36.01.10,36.01,36,1127.0,2684.0,82.0
