,KODE_KEL_DESA,KODE_KECAMATAN,KODE_KAB_KOTA,KODE_PROVINSI,Pengangguran,Kerah Biru,Kerah Putih,Profesional
30888,36.02.18.2015,36.02.18,36.02,36,817.0,938.0,1084.0,29.0
30889,36.02.16.2006,36.02.16,36.02,36,739.0,1787.0,354.0,2.0
30890,36.02.17.2012,36.02.17,36.02,36,939.0,1837.0,267.0,1.0
30891,36.02.16.2012,36.02.16,36.02,36,435.0,1271.0,412.0,0.0
30892,36.02.16.2017,36.02.16,36.02,36,400.0,1118.0,92.0,0.0
30893,36.02.16.2015,36.02.16,36.02,36,370.0,735.0,108.0,1.0
30894,36.02.16.2018,36.02.16,36.02,36,433.0,1100.0,192.0,0.0
30895,36.02.17.2001,36.02.17,36.02,36,731.0,1386.0,280.0,0.0
30896,36.02.17.2002,36.02.17,36.02,36,1033.0,1991.0,507.0,3.0
30897,36.02.17.2006,36.02.17,36.02,36,1274.0,2357.0,1074.0,3.0
30898,36.02.17.2007,36.02.17,36.02,36,1250.0,2283.0,357.0,2.0
30899,36.02.17.2010,36.02.17,36.02,36,1414.0,2896.0,848.0,6.0
30900,36.02.18.2002,36.02.18,36.02,36,1878.0,2746.0,1335.0,27.0
30901,36.02.18.2003,36.02.18,36.02,36,696.0,1364.0,349.0,4.0
30902,36.02.18.2004,36.02.18,36.02,36,1329.0,2510.0,511.0,5.0
30903,36.02.18.2009,36.02.18,36.02,36,857.0,1405.0,261.0,0.0
30904,36.02.18.2012,36.02.18,36.02,36,420.0,647.0,246.0,2.0
30905,36.02.18.2013,36.02.18,36.02,36,1034.0,1814.0,511.0,5.0
30906,36.02.19.2001,36.02.19,36.02,36,850.0,1532.0,750.0,1.0
30907,36.02.19.2002,36.02.19,36.02,36,719.0,1710.0,404.0,6.0
30908,36.02.19.2003,36.02.19,36.02,36,434.0,886.0,283.0,4.0
30909,36.02.20.2005,36.02.20,36.02,36,1022.0,1881.0,1108.0,4.0
30910,36.02.19.2005,36.02.19,36.02,36,323.0,902.0,84.0,0.0
30911,36.02.19.2008,36.02.19,36.02,36,503.0,834.0,536.0,9.0
30912,36.02.19.2010,36.02.19,36.02,36,350.0,1212.0,288.0,2.0
30913,36.03.11.2013,36.03.11,36.03,36,2146.0,3134.0,2100.0,15.0
30914,36.02.19.2013,36.02.19,36.02,36,295.0,888.0,197.0,0.0
30915,36.02.19.2015,36.02.19,36.02,36,328.0,1022.0,78.0,0.0
30916,36.02.19.2014,36.02.19,36.02,36,382.0,1426.0,120.0,3.0
30917,36.02.20.2002,36.02.20,36.02,36,451.0,893.0,330.0,0.0
30918,36.02.20.2003,36.02.20,36.02,36,527.0,1456.0,652.0,6.0
30919,36.02.20.2004,36.02.20,36.02,36,769.0,1653.0,1020.0,5.0
30920,36.02.21.2002,36.02.21,36.02,36,1105.0,2567.0,490.0,0.0
30921,36.02.21.2003,36.02.21,36.02,36,484.0,950.0,175.0,0.0
30922,36.02.21.2006,36.02.21,36.02,36,916.0,1833.0,263.0,2.0
30923,36.02.21.2009,36.02.21,36.02,36,691.0,1817.0,140.0,0.0
30924,36.02.21.2011,36.02.21,36.02,36,532.0,1759.0,482.0,2.0
30925,36.02.22.2004,36.02.22,36.02,36,383.0,1489.0,270.0,4.0
30926,36.02.22.2006,36.02.22,36.02,36,739.0,2249.0,395.0,5.0
30927,36.03.01.2010,36.03.01,36.03,36,2203.0,2340.0,3358.0,10.0
30928,36.02.22.2009,36.02.22,36.02,36,251.0,875.0,73.0,2.0
30929,36.02.23.2002,36.02.23,36.02,36,948.0,1410.0,420.0,0.0
30930,36.02.23.2004,36.02.23,36.02,36,571.0,1056.0,168.0,2.0
