,KODE_KEL_DESA,KODE_KECAMATAN,KODE_KAB_KOTA,KODE_PROVINSI,POPULASI,JUMLAH_KK
30870,36.02.13.2015,36.02.13,36.02,36,5458.0,1877.0
30871,36.02.13.2016,36.02.13,36.02,36,5184.0,1690.0
30872,36.02.13.2020,36.02.13,36.02,36,3528.0,1140.0
30873,36.02.13.2023,36.02.13,36.02,36,3379.0,1053.0
30874,36.02.14.1002,36.02.14,36.02,36,7681.0,2568.0
30875,36.02.14.1006,36.02.14,36.02,36,11842.0,3851.0
30876,36.02.14.1007,36.02.14,36.02,36,9385.0,3206.0
30877,36.02.14.1008,36.02.14,36.02,36,10802.0,3463.0
30878,36.02.14.1012,36.02.14,36.02,36,19891.0,6680.0
30879,36.02.14.2001,36.02.14,36.02,36,5027.0,1540.0
30880,36.02.14.2011,36.02.14,36.02,36,4299.0,1322.0
30881,36.02.14.2016,36.02.14,36.02,36,4832.0,1519.0
30882,36.02.14.2019,36.02.14,36.02,36,4823.0,1503.0
30883,36.02.15.2001,36.02.15,36.02,36,6081.0,1845.0
30884,36.02.15.2006,36.02.15,36.02,36,5633.0,1721.0
30885,36.02.18.2008,36.02.18,36.02,36,3673.0,1200.0
30886,36.02.15.2010,36.02.15,36.02,36,5310.0,1659.0
30887,36.02.15.2011,36.02.15,36.02,36,3734.0,1129.0
30888,36.02.18.2015,36.02.18,36.02,36,3913.0,1185.0
30889,36.02.16.2006,36.02.16,36.02,36,3694.0,1264.0
30890,36.02.17.2012,36.02.17,36.02,36,4184.0,1253.0
30891,36.02.16.2012,36.02.16,36.02,36,2567.0,922.0
30892,36.02.16.2017,36.02.16,36.02,36,1985.0,702.0
30893,36.02.16.2015,36.02.16,36.02,36,1448.0,484.0
30894,36.02.16.2018,36.02.16,36.02,36,2048.0,755.0
30895,36.02.17.2001,36.02.17,36.02,36,3101.0,1012.0
30896,36.02.17.2002,36.02.17,36.02,36,4644.0,1449.0
30897,36.02.17.2006,36.02.17,36.02,36,6276.0,2062.0
30898,36.02.17.2007,36.02.17,36.02,36,4980.0,1585.0
30899,36.02.17.2010,36.02.17,36.02,36,6808.0,2086.0
30900,36.02.18.2002,36.02.18,36.02,36,7558.0,2478.0
30901,36.02.18.2003,36.02.18,36.02,36,3039.0,984.0
30902,36.02.18.2004,36.02.18,36.02,36,5371.0,1797.0
30903,36.02.18.2009,36.02.18,36.02,36,3373.0,985.0
30904,36.02.18.2012,36.02.18,36.02,36,1720.0,554.0
30905,36.02.18.2013,36.02.18,36.02,36,4377.0,1395.0
30906,36.02.19.2001,36.02.19,36.02,36,4046.0,1341.0
30907,36.02.19.2002,36.02.19,36.02,36,3525.0,1300.0
30908,36.02.19.2003,36.02.19,36.02,36,2049.0,749.0
30909,36.02.20.2005,36.02.20,36.02,36,5184.0,1725.0
30910,36.02.19.2005,36.02.19,36.02,36,1775.0,715.0
30911,36.02.19.2008,36.02.19,36.02,36,2464.0,861.0
30912,36.02.19.2010,36.02.19,36.02,36,2391.0,874.0
30913,36.03.11.2013,36.03.11,36.03,36,9962.0,3307.0
30914,36.02.19.2013,36.02.19,36.02,36,1847.0,674.0
30915,36.02.19.2015,36.02.19,36.02,36,1740.0,685.0
30916,36.02.19.2014,36.02.19,36.02,36,2388.0,946.0
30917,36.02.20.2002,36.02.20,36.02,36,2074.0,670.0
30918,36.02.20.2003,36.02.20,36.02,36,3299.0,1200.0
30919,36.02.20.2004,36.02.20,36.02,36,4361.0,1495.0
30920,36.02.21.2002,36.02.21,36.02,36,5021.0,1853.0
30921,36.02.21.2003,36.02.21,36.02,36,2046.0,678.0
30922,36.02.21.2006,36.02.21,36.02,36,3632.0,1259.0
30923,36.02.21.2009,36.02.21,36.02,36,3203.0,1132.0
30924,36.02.21.2011,36.02.21,36.02,36,3425.0,1295.0
30925,36.02.22.2004,36.02.22,36.02,36,2844.0,1068.0
30926,36.02.22.2006,36.02.22,36.02,36,4352.0,1525.0
30927,36.03.01.2010,36.03.01,36.03,36,9888.0,3458.0
30928,36.02.22.2009,36.02.22,36.02,36,1463.0,559.0
30929,36.02.23.2002,36.02.23,36.02,36,3305.0,1090.0
30930,36.02.23.2004,36.02.23,36.02,36,2247.0,725.0
30931,36.02.23.2005,36.02.23,36.02,36,3513.0,1149.0
30932,36.02.23.2007,36.02.23,36.02,36,4980.0,1562.0
30933,36.02.23.2008,36.02.23,36.02,36,3677.0,1233.0
30934,36.02.23.2010,36.02.23,36.02,36,2304.0,752.0
30935,36.02.24.2001,36.02.24,36.02,36,4422.0,1341.0
30936,36.02.24.2003,36.02.24,36.02,36,4947.0,1497.0
30937,36.02.24.2004,36.02.24,36.02,36,6281.0,1988.0
30938,36.02.24.2005,36.02.24,36.02,36,5127.0,1385.0
30939,36.02.25.2001,36.02.25,36.02,36,5420.0,1701.0
30940,36.02.25.2002,36.02.25,36.02,36,3111.0,1114.0
30941,36.02.27.2004,36.02.27,36.02,36,3136.0,1114.0
30942,36.02.25.2004,36.02.25,36.02,36,2143.0,770.0
30943,36.02.25.2005,36.02.25,36.02,36,3171.0,1237.0
30944,36.02.25.2006,36.02.25,36.02,36,2611.0,959.0
30945,36.02.26.2001,36.02.26,36.02,36,3983.0,1379.0
30946,36.02.26.2002,36.02.26,36.02,36,3198.0,1137.0
30947,36.02.26.2003,36.02.26,36.02,36,4452.0,1510.0
30948,36.02.26.2006,36.02.26,36.02,36,2177.0,806.0
30949,36.02.26.2007,36.02.26,36.02,36,3656.0,1319.0
30950,36.02.26.2008,36.02.26,36.02,36,3429.0,1225.0
30951,36.02.27.2005,36.02.27,36.02,36,2933.0,976.0
30952,36.02.27.2006,36.02.27,36.02,36,3696.0,1255.0
30953,36.03.01.2011,36.03.01,36.03,36,11272.0,3790.0
30954,36.02.27.2010,36.02.27,36.02,36,1777.0,666.0
30955,36.02.28.2001,36.02.28,36.02,36,3587.0,1243.0
30956,36.03.01.2003,36.03.01,36.03,36,14802.0,4927.0
30957,36.02.28.2003,36.02.28,36.02,36,1624.0,630.0
30958,36.02.28.2005,36.02.28,36.02,36,2873.0,1081.0
30959,36.02.28.2006,36.02.28,36.02,36,1787.0,718.0
30960,36.02.28.2007,36.02.28,36.02,36,2134.0,914.0
30961,36.02.28.2008,36.02.28,36.02,36,1790.0,722.0
30962,36.03.01.2014,36.03.01,36.03,36,29256.0,9461.0
30963,36.03.01.2016,36.03.01,36.03,36,6249.0,2150.0
30964,36.03.02.2001,36.03.02,36.03,36,5482.0,1946.0
30965,36.03.02.2002,36.03.02,36.03,36,6079.0,2200.0
30966,36.03.02.2005,36.03.02,36.03,36,8152.0,2843.0
30967,36.03.02.2006,36.03.02,36.03,36,10004.0,3389.0
30968,36.03.02.2007,36.03.02,36.03,36,6731.0,2297.0
30969,36.03.02.2008,36.03.02,36.03,36,11309.0,3717.0
30970,36.03.02.2009,36.03.02,36.03,36,4586.0,1608.0
30971,36.03.03.1007,36.03.03,36.03,36,7257.0,2425.0
30972,36.03.03.2003,36.03.03,36.03,36,10346.0,3363.0
30973,36.03.03.2004,36.03.03,36.03,36,22573.0,7185.0
30974,36.03.03.2012,36.03.03,36.03,36,9127.0,3040.0
30975,36.03.03.2013,36.03.03,36.03,36,7899.0,2641.0
30976,36.03.04.2002,36.03.04,36.03,36,5959.0,1966.0
30977,36.03.04.2007,36.03.04,36.03,36,3491.0,1167.0
30978,36.03.04.2008,36.03.04,36.03,36,3443.0,1132.0
