,KODE_KEL_DESA,KODE_KECAMATAN,KODE_KAB_KOTA,KODE_PROVINSI,Mayoritas,Minoritas,ISLAM,KRISTEN,KATOLIK,HINDU,BUDDHA,KONGHUCU,KEPERCAYAAN
30323,36.03.27.2003,36.03.27,36.03,36,8518.0,23.0,8518.0,10.0,9.0,0.0,4.0,0.0,0.0
30324,36.03.27.2008,36.03.27,36.03,36,5669.0,2.0,5669.0,0.0,2.0,0.0,0.0,0.0,0.0
30325,36.03.28.1001,36.03.28,36.03,36,22609.0,3342.0,22609.0,1686.0,1048.0,34.0,565.0,7.0,2.0
30326,36.03.28.1003,36.03.28,36.03,36,7223.0,3537.0,7223.0,2164.0,901.0,73.0,399.0,0.0,0.0
30327,36.03.28.1005,36.03.28,36.03,36,39001.0,6213.0,39001.0,3506.0,1524.0,118.0,1058.0,5.0,2.0
30328,36.03.28.2006,36.03.28,36.03,36,5787.0,6276.0,5787.0,2725.0,2324.0,22.0,1196.0,9.0,0.0
30329,36.03.29.2001,36.03.29,36.03,36,8009.0,21.0,8009.0,16.0,4.0,0.0,1.0,0.0,0.0
30330,36.03.29.2002,36.03.29,36.03,36,16272.0,663.0,16272.0,409.0,141.0,25.0,88.0,0.0,0.0
30331,36.03.29.2004,36.03.29,36.03,36,9602.0,1.0,9602.0,0.0,1.0,0.0,0.0,0.0,0.0
30332,36.03.29.2007,36.03.29,36.03,36,5851.0,0.0,5851.0,0.0,0.0,0.0,0.0,0.0,0.0
30333,36.03.30.2001,36.03.30,36.03,36,8629.0,2185.0,8629.0,362.0,37.0,1.0,1782.0,3.0,0.0
30334,36.03.30.2004,36.03.30,36.03,36,8019.0,5.0,8019.0,5.0,0.0,0.0,0.0,0.0,0.0
30335,36.03.30.2007,36.03.30,36.03,36,6664.0,114.0,6664.0,33.0,1.0,0.0,80.0,0.0,0.0
30336,36.03.31.2002,36.03.31,36.03,36,12413.0,431.0,12413.0,321.0,61.0,5.0,44.0,0.0,0.0
30337,36.03.32.2004,36.03.32,36.03,36,4003.0,0.0,4003.0,0.0,0.0,0.0,0.0,0.0,0.0
30338,36.03.31.2005,36.03.31,36.03,36,5174.0,1.0,5174.0,1.0,0.0,0.0,0.0,0.0,0.0
30339,36.03.31.2006,36.03.31,36.03,36,17286.0,943.0,17286.0,685.0,203.0,18.0,37.0,0.0,0.0
30340,36.03.32.2006,36.03.32,36.03,36,5660.0,1.0,5660.0,1.0,0.0,0.0,0.0,0.0,0.0
30341,36.03.33.2002,36.03.33,36.03,36,2996.0,0.0,2996.0,0.0,0.0,0.0,0.0,0.0,0.0
30342,36.03.33.2004,36.03.33,36.03,36,3618.0,0.0,3618.0,0.0,0.0,0.0,0.0,0.0,0.0
30343,36.03.33.2007,36.03.33,36.03,36,6596.0,1.0,6596.0,1.0,0.0,0.0,0.0,0.0,0.0
30344,36.04.05.2001,36.04.05,36.04,36,8934.0,388.0,8934.0,280.0,93.0,8.0,7.0,0.0,0.0
30345,36.04.05.2003,36.04.05,36.04,36,9644.0,199.0,9644.0,121.0,48.0,28.0,2.0,0.0,0.0
30346,36.04.05.2004,36.04.05,36.04,36,3770.0,3.0,3770.0,3.0,0.0,0.0,0.0,0.0,0.0
30347,36.04.05.2006,36.04.05,36.04,36,4853.0,156.0,4853.0,107.0,36.0,2.0,11.0,0.0,0.0
30348,36.04.05.2007,36.04.05,36.04,36,4259.0,7.0,4259.0,1.0,6.0,0.0,0.0,0.0,0.0
30349,36.04.05.2008,36.04.05,36.04,36,3387.0,0.0,3387.0,0.0,0.0,0.0,0.0,0.0,0.0
30350,36.04.05.2009,36.04.05,36.04,36,4661.0,0.0,4661.0,0.0,0.0,0.0,0.0,0.0,0.0
30351,36.04.05.2011,36.04.05,36.04,36,7689.0,275.0,7689.0,225.0,27.0,19.0,3.0,1.0,0.0
30352,36.04.06.2001,36.04.06,36.04,36,11276.0,509.0,11276.0,374.0,90.0,30.0,11.0,0.0,4.0
30353,36.04.06.2002,36.04.06,36.04,36,2691.0,0.0,2691.0,0.0,0.0,0.0,0.0,0.0,0.0
30354,36.04.06.2003,36.04.06,36.04,36,3193.0,0.0,3193.0,0.0,0.0,0.0,0.0,0.0,0.0
30355,36.04.06.2004,36.04.06,36.04,36,2331.0,1.0,2331.0,1.0,0.0,0.0,0.0,0.0,0.0
30356,36.04.06.2005,36.04.06,36.04,36,3145.0,1.0,3145.0,0.0,1.0,0.0,0.0,0.0,0.0
30357,36.04.06.2007,36.04.06,36.04,36,3436.0,4.0,3436.0,1.0,3.0,0.0,0.0,0.0,0.0
30358,36.04.07.2002,36.04.07,36.04,36,4281.0,81.0,4281.0,66.0,13.0,0.0,2.0,0.0,0.0
30359,36.04.07.2008,36.04.07,36.04,36,3117.0,4.0,3117.0,4.0,0.0,0.0,0.0,0.0,0.0
30360,36.04.07.2009,36.04.07,36.04,36,3051.0,0.0,3051.0,0.0,0.0,0.0,0.0,0.0,0.0
30361,36.04.07.2010,36.04.07,36.04,36,3268.0,0.0,3268.0,0.0,0.0,0.0,0.0,0.0,0.0
30362,36.04.07.2011,36.04.07,36.04,36,2979.0,1.0,2979.0,1.0,0.0,0.0,0.0,0.0,0.0
30363,36.04.08.2003,36.04.08,36.04,36,3214.0,44.0,3214.0,35.0,5.0,4.0,0.0,0.0,0.0
30364,36.04.08.2004,36.04.08,36.04,36,4697.0,0.0,4697.0,0.0,0.0,0.0,0.0,0.0,0.0
30365,36.04.08.2005,36.04.08,36.04,36,4697.0,9.0,4697.0,4.0,5.0,0.0,0.0,0.0,0.0
30366,36.04.08.2007,36.04.08,36.04,36,3832.0,0.0,3832.0,0.0,0.0,0.0,0.0,0.0,0.0
30367,36.04.08.2009,36.04.08,36.04,36,3067.0,3.0,3067.0,3.0,0.0,0.0,0.0,0.0,0.0
30368,36.04.09.2004,36.04.09,36.04,36,3646.0,0.0,3646.0,0.0,0.0,0.0,0.0,0.0,0.0
30369,36.04.09.2005,36.04.09,36.04,36,5158.0,0.0,5158.0,0.0,0.0,0.0,0.0,0.0,0.0
30370,36.04.09.2011,36.04.09,36.04,36,3712.0,0.0,3712.0,0.0,0.0,0.0,0.0,0.0,0.0
30371,36.04.09.2012,36.04.09,36.04,36,4152.0,0.0,4152.0,0.0,0.0,0.0,0.0,0.0,0.0
30372,36.04.11.2003,36.04.11,36.04,36,3900.0,21.0,3900.0,19.0,2.0,0.0,0.0,0.0,0.0
30373,36.04.09.2017,36.04.09,36.04,36,9674.0,1188.0,9674.0,855.0,236.0,64.0,30.0,0.0,3.0
30374,36.04.11.2007,36.04.11,36.04,36,10629.0,129.0,10629.0,97.0,21.0,1.0,10.0,0.0,0.0
30375,36.04.11.2008,36.04.11,36.04,36,4566.0,0.0,4566.0,0.0,0.0,0.0,0.0,0.0,0.0
30376,36.04.11.2012,36.04.11,36.04,36,3256.0,1.0,3256.0,1.0,0.0,0.0,0.0,0.0,0.0
30377,36.04.11.2014,36.04.11,36.04,36,3452.0,6.0,3452.0,4.0,1.0,1.0,0.0,0.0,0.0
30378,36.04.12.2003,36.04.12,36.04,36,4887.0,0.0,4887.0,0.0,0.0,0.0,0.0,0.0,0.0
30379,36.04.12.2010,36.04.12,36.04,36,4416.0,8.0,4416.0,2.0,0.0,0.0,6.0,0.0,0.0
30380,36.04.12.2011,36.04.12,36.04,36,4366.0,1.0,4366.0,0.0,1.0,0.0,0.0,0.0,0.0
30381,36.04.12.2012,36.04.12,36.04,36,2434.0,0.0,2434.0,0.0,0.0,0.0,0.0,0.0,0.0
30382,36.04.12.2013,36.04.12,36.04,36,4241.0,1.0,4241.0,0.0,1.0,0.0,0.0,0.0,0.0
30383,36.04.13.2004,36.04.13,36.04,36,2925.0,0.0,2925.0,0.0,0.0,0.0,0.0,0.0,0.0
30384,36.04.13.2006,36.04.13,36.04,36,4814.0,0.0,4814.0,0.0,0.0,0.0,0.0,0.0,0.0
